time,rating,flux,entropy
2014-07-19 13:58:19.311375,2,0.3333722316992399,4.687441625323441
2014-07-19 13:58:19.311375,4,0.3333722316992399,4.687441625323441
2014-07-19 13:58:19.311375,4,0.3333722316992399,4.687441625323441
2014-07-19 13:58:19.311375,4,0.3333722316992399,4.687441625323441
2014-07-19 13:58:19.311375,3,0.3333722316992399,4.687441625323441
2014-07-19 14:06:09.653339,4,0.31943345767326925,4.4722626766917974
2014-07-19 14:06:09.653339,4,0.31943345767326925,4.4722626766917974
2014-07-19 14:06:09.653339,3,0.31943345767326925,4.4722626766917974
2014-07-19 14:06:09.653339,3,0.31943345767326925,4.4722626766917974
2014-07-19 14:06:09.653339,4,0.31943345767326925,4.4722626766917974
2014-07-19 14:13:35.436289,4,0.25754550462000025,4.437797532862661
2014-07-19 14:13:35.436289,3,0.25754550462000025,4.437797532862661
2014-07-19 14:13:35.436289,5,0.25754550462000025,4.437797532862661
2014-07-19 14:13:35.436289,5,0.25754550462000025,4.437797532862661
2014-07-19 14:13:35.436289,5,0.25754550462000025,4.437797532862661
2014-07-19 14:40:09.285000,4,0.10041407867494824,2.654206442679217
2014-07-19 14:40:09.285000,5,0.10041407867494824,2.654206442679217
2014-07-19 14:40:09.285000,4,0.10041407867494824,2.654206442679217
2014-07-19 14:40:09.285000,5,0.10041407867494824,2.654206442679217
2014-07-19 14:40:09.285000,4,0.10041407867494824,2.654206442679217
2014-07-19 14:47:38.703846,4,0.2833653052510728,4.494696685807904
2014-07-19 14:47:38.703846,5,0.2833653052510728,4.494696685807904
2014-07-19 14:47:38.703846,5,0.2833653052510728,4.494696685807904
2014-07-19 14:47:38.703846,5,0.2833653052510728,4.494696685807904
2014-07-19 14:47:38.703846,5,0.2833653052510728,4.494696685807904
2014-07-19 14:54:37.752794,3,0.2562300705598525,4.354740814360563
2014-07-19 14:54:37.752794,3,0.2562300705598525,4.354740814360563
2014-07-19 14:54:37.752794,5,0.2562300705598525,4.354740814360563
2014-07-19 14:54:37.752794,5,0.2562300705598525,4.354740814360563
2014-07-19 14:54:37.752794,4,0.2562300705598525,4.354740814360563
2014-07-19 15:05:10.533829,3,0.2813402860490472,4.444418651661873
2014-07-19 15:05:10.533829,5,0.2813402860490472,4.444418651661873
2014-07-19 15:05:10.533829,5,0.2813402860490472,4.444418651661873
2014-07-19 15:05:10.533829,3,0.2813402860490472,4.444418651661873
2014-07-19 15:05:10.533829,4,0.2813402860490472,4.444418651661873
2014-07-19 15:12:10.783353,4,0.23426012263544807,4.400589210112158
2014-07-19 15:12:10.783353,3,0.23426012263544807,4.400589210112158
2014-07-19 15:12:10.783353,4,0.23426012263544807,4.400589210112158
2014-07-19 15:12:10.783353,4,0.23426012263544807,4.400589210112158
2014-07-19 15:12:10.783353,3,0.23426012263544807,4.400589210112158
2014-07-19 15:18:48.473461,1,0.2950783976760208,4.457108514348526
2014-07-19 15:18:48.473461,3,0.2950783976760208,4.457108514348526
2014-07-19 15:18:48.473461,4,0.2950783976760208,4.457108514348526
2014-07-19 15:18:48.473461,4,0.2950783976760208,4.457108514348526
2014-07-19 15:18:48.473461,3,0.2950783976760208,4.457108514348526
2014-07-19 15:50:19.420698,2,0.31184350848509124,4.596475649479069
2014-07-19 15:50:19.420698,4,0.31184350848509124,4.596475649479069
2014-07-19 15:50:19.420698,5,0.31184350848509124,4.596475649479069
2014-07-19 15:50:19.420698,3,0.31184350848509124,4.596475649479069
2014-07-19 15:50:19.420698,4,0.31184350848509124,4.596475649479069
2014-07-19 15:57:29.513102,5,0.21512604121455572,4.2465636060586185
2014-07-19 15:57:29.513102,4,0.21512604121455572,4.2465636060586185
2014-07-19 15:57:29.513102,3,0.21512604121455572,4.2465636060586185
2014-07-19 15:57:29.513102,2,0.21512604121455572,4.2465636060586185
2014-07-19 15:57:29.513102,3,0.21512604121455572,4.2465636060586185
2014-07-19 16:04:29.100564,3,0.1997708750399,4.2116103527882505
2014-07-19 16:04:29.100564,4,0.1997708750399,4.2116103527882505
2014-07-19 16:04:29.100564,5,0.1997708750399,4.2116103527882505
2014-07-19 16:04:29.100564,5,0.1997708750399,4.2116103527882505
2014-07-19 16:04:29.100564,3,0.1997708750399,4.2116103527882505
2014-07-19 16:19:55.315323,3,0.11221122112211221,2.930457566795334
