time,jonathan,yvonne,charles,christina
2014-04-29 15:40:16,0,0,0,0
2014-04-29 15:40:17,2,0,0,0
2014-04-29 15:40:18,1,0,0,0
2014-04-29 15:40:19,1,0,0,0
2014-04-29 15:40:20,1,0,0,0
2014-04-29 15:40:21,1,0,0,0
2014-04-29 15:40:22,2,0,0,0
2014-04-29 15:40:23,0,0,0,0
2014-04-29 15:40:24,0,0,0,0
2014-04-29 15:40:25,0,0,0,0
2014-04-29 15:40:26,0,0,0,0
2014-04-29 15:40:27,0,0,0,0
2014-04-29 15:40:28,0,0,0,0
2014-04-29 15:40:29,0,0,0,0
2014-04-29 15:40:30,0,0,0,0
2014-04-29 15:40:31,0,0,0,0
2014-04-29 15:40:32,0,0,0,0
2014-04-29 15:40:33,0,0,0,0
2014-04-29 15:40:34,0,0,0,0
2014-04-29 15:40:35,0,0,0,0
2014-04-29 15:40:36,0,0,0,0
2014-04-29 15:40:37,0,0,0,0
2014-04-29 15:40:38,0,0,0,0
2014-04-29 15:40:39,0,0,0,0
2014-04-29 15:40:40,0,0,0,0
2014-04-29 15:40:41,0,0,0,0
2014-04-29 15:40:42,0,2,0,0
2014-04-29 15:40:43,0,2,0,0
2014-04-29 15:40:44,0,2,0,0
2014-04-29 15:40:45,0,2,0,0
2014-04-29 15:40:46,0,2,0,0
2014-04-29 15:40:47,0,8,0,0
2014-04-29 15:40:48,0,3,0,0
2014-04-29 15:40:49,0,3,0,0
2014-04-29 15:40:50,0,3,0,0
2014-04-29 15:40:51,0,3,0,0
2014-04-29 15:40:52,0,3,0,0
2014-04-29 15:40:53,0,2,0,0
2014-04-29 15:40:54,0,2,0,0
2014-04-29 15:40:55,0,2,0,0
2014-04-29 15:40:56,0,2,0,0
2014-04-29 15:40:57,0,2,0,0
2014-04-29 15:40:58,0,2,0,0
2014-04-29 15:40:59,0,0,0,0
2014-04-29 15:41:00,0,0,0,0
2014-04-29 15:41:01,0,2,0,0
2014-04-29 15:41:02,0,2,0,0
2014-04-29 15:41:03,0,2,0,0
2014-04-29 15:41:04,0,2,0,0
2014-04-29 15:41:05,0,2,0,0
2014-04-29 15:41:06,0,2,0,0
2014-04-29 15:41:07,0,2,0,0
2014-04-29 15:41:08,0,2,0,0
2014-04-29 15:41:09,0,2,0,0
2014-04-29 15:41:10,0,2,0,0
2014-04-29 15:41:11,0,2,0,0
2014-04-29 15:41:12,0,2,0,0
2014-04-29 15:41:13,0,2,0,0
2014-04-29 15:41:14,0,2,0,0
2014-04-29 15:41:15,0,3,0,0
2014-04-29 15:41:16,0,3,0,0
2014-04-29 15:41:17,0,3,0,0
2014-04-29 15:41:18,0,3,0,0
2014-04-29 15:41:19,0,8,0,0
2014-04-29 15:41:20,0,2,0,0
2014-04-29 15:41:21,0,0,0,0
2014-04-29 15:41:22,0,0,0,0
2014-04-29 15:41:23,0,0,0,0
2014-04-29 15:41:24,0,0,0,0
2014-04-29 15:41:25,0,0,0,0
2014-04-29 15:41:26,0,0,0,0
2014-04-29 15:41:27,0,0,0,0
2014-04-29 15:41:28,0,0,0,0
2014-04-29 15:41:29,0,0,0,0
2014-04-29 15:41:30,0,0,0,0
2014-04-29 15:41:31,0,0,0,0
2014-04-29 15:41:32,0,0,0,0
2014-04-29 15:41:33,0,0,0,0
2014-04-29 15:41:34,0,0,0,0
2014-04-29 15:41:35,0,0,0,0
2014-04-29 15:41:36,0,0,0,0
2014-04-29 15:41:37,0,0,0,0
2014-04-29 15:41:38,0,0,0,0
2014-04-29 15:41:39,0,0,0,0
2014-04-29 15:41:40,0,0,0,0
2014-04-29 15:41:41,0,0,0,0
2014-04-29 15:41:42,0,0,0,0
2014-04-29 15:41:43,0,0,0,0
2014-04-29 15:41:44,0,0,0,0
2014-04-29 15:41:45,0,0,0,0
2014-04-29 15:41:46,0,0,0,0
2014-04-29 15:41:47,0,0,0,0
2014-04-29 15:41:48,0,0,0,0
2014-04-29 15:41:49,0,0,0,0
2014-04-29 15:41:50,0,0,0,0
2014-04-29 15:41:51,0,0,0,0
2014-04-29 15:41:52,0,0,0,0
2014-04-29 15:41:53,0,0,0,0
2014-04-29 15:41:54,0,0,0,0
2014-04-29 15:41:55,0,0,0,0
2014-04-29 15:41:56,0,0,0,0
2014-04-29 15:41:57,0,0,0,0
2014-04-29 15:41:58,0,0,0,0
2014-04-29 15:41:59,0,0,0,0
2014-04-29 15:42:00,0,0,0,0
2014-04-29 15:42:01,0,0,0,0
2014-04-29 15:42:02,0,0,0,0
2014-04-29 15:42:03,0,0,0,0
